"Kategori","Namn","Ämnesområden","Typiska Plattformar","Analys av Position"
"Nya Medieprofiler","Jack Werner","Källkritik, internetkultur.","Metro (fd. Viralgranskaren), DN, Podcast: Creepypodden","Prisbelönt pionjär inom källkritisk journalistik. Som medgrundare till Viralgranskaren (faktakoll av virala nyheter) satte han standarden för hur medier hanterar fake news. Werner skriver och föreläser om nätfenomen, ofta med anekdoter om myter på nätet. Han vann Stora Journalistpriset 2014 för detta arbete. Hans ton är folkbildande, lätt humoristisk men med allvarligt syfte att höja medvetenheten om desinformation."
"Nya Medieprofiler","Jörgen Huitfeldt","Politik, samhälle.","Kvartal (chefredaktör, poddintervjuare)","Före detta Ekot-journalist som nu leder den oberoende långformsajten Kvartal. Genom podden Fredagsintervjun har han gjort sig känd för långa, fördjupande samtal med makthavare och tänkare, utan snuttifiering. Han värnar sakligheten och låter gästen utveckla resonemang, men ifrågasätter kritiskt när så behövs. Politisk obundenhet är hans signum – Kvartal lockar både höger- och vänsterpublik med sitt devot neutrala anslag."
"Nya Medieprofiler","Staffan Dopping","Media, politik.","Kvartal (podd), Timbro Smedjan (redaktör)","Veteran från radio (SR Ekot) som blivit en tongivande mediekommentator. Hos Timbro och Kvartal analyserar han journalistikens roll, vinklar och förtroende. Står för en liberal-konservativ mediekritik, t.ex. om “åsiktskorridoren” och public service. Doppings ton är resonabel och faktarik. Genom poddar och artiklar påverkar han diskussionen om mediernas ansvar och trovärdighet."
"Nya Medieprofiler","Katerina Janouch","Samhälle, invandring, kulturkritik.","Egna kanaler (blogg, YouTube), tidigare Expressen (krönikör)","En före detta etablerad författare/sexrådgivare som under 2016–2025 svängde till att bli en framträdande invandringskritisk opinionsbildare i alternativa medier. Hon har gjort sig känd som en kontroversiell debattör, ofta spridande alarm om svensk integrationspolitik och mainstream-medier. Janouchs stil är emotionell och polemisk; hon mobiliserar en följarskara inom den högerpopulistiska sfären, men hennes uttalanden om “svensk kollaps” har också fått starkt mothugg i traditionella medier."
"Nya Medieprofiler","Mats Dagerlind","Invandring, brott, opinion.","Samnytt (chefredaktör)","Centralgestalt i Samnytt (före detta Avpixlat), en invandringskritisk nyhetssajt. Dagerlind skriver hårdvinklade artiklar om brott kopplat till invandring och islam, i linje med nationalistisk agenda. Han är även aktiv på sociala medier där han ofta hamnar i bråk med journalister. Hans texter är ideologiskt drivna med alarmistisk ton. Även om Samnytts siffror är små jämfört med etablerad press har Dagerlind ett inflytande bland högeraktivister online."
"Nya Medieprofiler","Joakim Lamotte","Brottsrapportering, sociala medier.","Oberoende (Facebook, livestreams)","Sveriges mest kända “Swish-journalist”, som verkat utanför etablerade redaktioner. Via Facebook- livesändningar om våld, otrygghet och invandring nådde han hundratusentals följare – vid ett tillfälle över 280 000 följare på Facebook , en enorm räckvidd för en enskild journalist. Hans stil var konfrontativ och känsloladdad; han åkte till utsatta områden och sände live i väst, vilket gav både starkt stöd från fans och hård kritik om förenklingar. Lamotte personifierade en ny sorts journalistik i sociala medier , men avslutade 2022 sin karriär efter upplevda hot."
"Nya Medieprofiler","Frida Boisen","Digital kultur, sociala medier, lokaljournalistik.","GT/Expressen (tidigare chefredaktör GT), föreläsare","Blev känd som innovativ chefredaktör som satsade digitalt – hennes arbete i Göteborgstidningen gjorde att hon utsågs till en av mediesveriges mäktigaste . Frida har också profilerat sig som expert på sociala medier och digitalt beteende, bl.a. genom boken Digital succé. I sina krönikor och TV-framträdanden uppmanar hon folk att våga mer, vara snälla på nätet och kombinerar känslomässiga historier med handfasta råd."
"Nya Medieprofiler","Thomas Mattsson","Medier, pressfrihet.","Expressen (tidigare chefredaktör)","Långvarig chefredaktör (2009–2019) som moderniserade Expressen digitalt. Även om han inte var frontskribent under sin tid, deltog han aktivt i mediedebatten om pressetik, källskydd och digital omställning. Hans blogginlägg och krönikor om mediefrågor lästes av branschfolk. Mattsson sågs som en försvarare av en fri och granskande kvällstidningsjournalistik, och under hans ledning ökade Expressens digitala räckvidd kraftigt."
"Nya Medieprofiler","Jan Helin","Medier, public service.","SVT (programdirektör), tidigare Aftonbladet (chefredaktör)","Som AB:s chefredaktör 2008–2016 var Helin en central makthavare i mediesverige. Han profilerade tidningen med en mix av socialt engagerade kampanjer och digital innovation (AB blev störst online under hans tid ). Nu i SVT diskuterar han ofta public service-roll och etik. Helins egna texter är få, men hans intervjuer och framträdanden (t.ex. i Min sanning) ger insikter i medieutvecklingen. Ideologiskt försvarar han publicistisk frihet och ansvarsfull journalistik."
"Nya Medieprofiler","Björn Häger","Journalistetik, metod.","Publicistklubben (ordf.), författare","En profil inom journalistkåren känd för att utbilda och debattera om etik och metod. Skrivit handböcker i journalistik och leder Publicistklubben i diskussioner om offentlighet, integritet och fake news. Häger framträder i branschmedier snarare än för allmänheten, men är högt aktad bland kollegor. Han företräder ofta journalistkårens perspektiv i offentlig debatt, t.ex. försvar av tuffa intervjuer eller kritik mot politikerförakt mot media."
"Nya Medieprofiler","Rebecca Weidmo Uvell","Näringsliv, politik, “slöseri”.","Oberoende (blogg “Uvell.se”)","En borgerlig opinionsbildare som via sin blogg och sociala medier jagar vad hon ser som vänstervridningar och slöseri med skattemedel. Uvell publicerar grävande inlägg om allt från bidragsfusk till public service-kostnader, ofta med syfte att väcka indignation hos borgerliga sympatisörer. Hennes ton är polemisk och ibland spydig. Hon saknar den stora pressens plattform men har byggt en egen där blogginlägg kan nå tiotusentals och ibland plockas upp av politiker i debatter."
"Nya Medieprofiler","Ingrid Carlqvist","(F.d. mainstream, numera konspirationsteorier).","Oberoende (egna bloggar, poddar)","Tidigare journalist på etablerade tidningar som Kvällsposten, men gick långt ut på högerkanten och driver numera bloggar som sprider invandringsfientliga konspirationsteorier. Hon har samarbetat med alternativmedier och blivit en profil inom yttersta högern, inklusive internationella sammanhang (alt-right). Hennes retorik är starkt islamkritisk och anti- etablissemang. Trots att hon är utfryst ur mainstream har hon en nischad men lojal följarskara online."
"Nya Medieprofiler","Nils Funcke","Tryckfrihet, offentlighet.","Journalist & expert (frilans, lärare)","Sveriges kanske främsta expert på yttrande- och tryckfrihetslagar. Funcke syns ofta i medier när frågor om offentlighet eller medieetik är på tapeten. Han skriver sakliga debattinlägg och rapporter om t.ex. offentlighet, meddelarskydd, sekretess och tryckfrihetsförordningen. Genom sin djupa kunskap påverkar han lagstiftning och praxis – han var t.ex. drivande i debatten att bevara offentlighetsprincipen i digital tid. En “journalisternas journalist” i källskyddsfrågor."
"Utrikeskorrespondenter","Magda Gad","Utrikes, krigskorrespondens, humanitärt.","Expressen (krigskorrespondent, numera egen plattform “Gad”)","En hyllad krigskorrespondent som rapporterat direkt från frontlinjer i Syrien, Irak och Afghanistan. Känd för sin orädda närvaro i konfliktzoner och nära skildringar av civilas perspektiv . Hennes journalistik är empatiskt berättande men också faktatung. Ideologiskt driver hon ingen partipolitik, men hon kritiserar västvärldens passivitet vid humanitära kriser. Mycket stor digital följarbas – hon har använt sociala medier för direktrapportering och byggt ett förtroende som en oberoende, pålitlig röst i krigsrapporteringen."
"Utrikeskorrespondenter","Cecilia Uddén","Utrikes, Mellanöstern.","Sveriges Radio (SR) (utrikeskorrespondent)","Veteranreporter och en av SR:s mest kända röster. Sedan decennier baserad i Mellanöstern och bevakar regionens konflikter och samhällen med djup kunskap. Hennes rapporter från krig, revolutioner och vardagsliv är levande berättade och nyanserade. Som journalist står hon för public service-ideal: opartiskhet och humanism. Hennes reportage får stort genomslag och hon anses bygga broar av förståelse för Mellanöstern i svensk kontext."
"Utrikeskorrespondenter","Carina Bergfeldt","Utrikes (USA), samhälle.","SVT (tidigare USA- korrespondent; programledare Carina Bergfeldt)","Prisbelönt reporter som slog igenom på Aftonbladet och blev välkänd som SVT:s USA- korrespondent 2016–2020 . Hennes reportage skildrade amerikanskt samhällsliv och politik med både värme och skärpa – hon vann Stora Journalistpriset för reportage om en masskjutning. Numera talkshow-värd i SVT där hon med sin journalistiska bakgrund når bred publik; hon behåller ett empatiskt, engagerat tilltal. Stilmässigt personlig men faktabaserad, med hjärta för “vanliga människors” berättelser."
"Utrikeskorrespondenter","Samir Abu Eid","Utrikes, konfliktbevakning.","SVT (utrikeskorrespondent, Mellanöstern/EU)","Erfaren utrikesreporter som bevakat Arabiska våren, Syrienkriget, Ukrainakriget m.m. Hans kännetecken är lugna, informativa rapporter från kaotiska händelser, alltid med försök att ge kontext. Opolitisk i ton men med mänskligt engagemang för drabbade. Har via SVT Nyheter stort genomslag – många svenskar får världsnyheter genom Abu Eids ögon."
"Utrikeskorrespondenter","Wolfgang Hansson","Utrikespolitik, säkerhet.","Aftonbladet (utrikeskommentator)","Mångårig utrikesanalytiker som förklarar världen för AB:s läsare. Fokus på USA, Ryssland, EU och globala konflikter. Hans ton är pedagogisk men tar tydlig ställning för demokrati och mot auktoritära ledare. T.ex. var han tidigt kritisk mot Putin och har följt kriget i Ukraina noga i sina texter. Genom AB (Sveriges största nyhetssajt ) når hans analyser enorm publik dagligen."
"Utrikeskorrespondenter","Katrine Marçal","Ekonomi, utrikes.","Dagens Nyheter (korrespondent London), tidigare Aftonbladet","Tongivande ekonomijournalist med feministisk vinkel. Hennes internationella perspektiv (bas i London) ger svenska läsare insyn i allt från brittisk politik till Silicon Valley. Känd för boken Vem lagade Adam Smiths middag? om kvinnors roll i ekonomin. Marçal argumenterar att ekonomin inte är könsneutral och lyfter ofta klimat och jämställdhet i sina analyser. Stilistiskt skarp, lätt provokativ och tänkvärd."
"Utrikeskorrespondenter","Ginna Lindberg","Utrikes (USA).","Sveriges Radio (utrikeschef, tidigare USA-korrespondent)","En av SR:s mest välkända korrespondenter under 2010-talet med flera perioder i Washington. Ginna förklarade amerikansk politik för radiopubliken med stor pedagogik – hennes inslag inför och efter Trumps val 2016 var mycket uppskattade. Nu som utrikeschef hörs hon ofta i SR-poddar (t.ex. USApodden). Hon är neutral och saklig, men brinner för att lyfta fram kvinnors historier (hon fick Stora Journalistpriset 2013 för reportageserien “Kvinnors krig”)."
"Utrikeskorrespondenter","Stefan Borg","Utrikes, krig, breaking news.","TV4 Nyheterna (utrikesreporter)","TV4:s mest profilerade utrikesreporter, med otaliga insatser från krig och katastrofer (Mellanöstern, Afrika, USA m.m.). Borg är tryggheten själv i rutan – levererar snabba nyheter med lugn röst, samtidigt som han ofta finns på plats i farozoner. I rapporteringen kring t.ex. 11 september, tsunamin 2004 eller invasionen av Ukraina 2022, var han ett bekant ansikte. Apolitiskt nyhetsfokus men med medmänskligt anslag."
"Utrikeskorrespondenter","Therese Larsson Hultin","Utrikespolitik (Europa, USA).","Svenska Dagbladet (utrikesanalytiker)","SvD:s utrikeskommentator som oftast syns i spalter kallade “Analys”. Hon specialbevakar Europa, exempelvis val i Frankrike, Brexit-följder, tyska energipolitiken – alltid med fokus på hur det påverkar Sverige. Även aktiv under USA-val. Hennes ton är saklig och pedagogisk; hon reder ut komplicerade skeenden med klara slutsatser. En pålitlig röst för dem som vill förstå omvärlden bortom rubrikerna."
"Utrikeskorrespondenter","Nivette Dawod","Utrikes, breaking news (Mellanöstern, Corona).","Aftonbladet (nyhetsreporter)","Hon gjorde sig ett namn som en av AB:s mest synliga reportrar under corona-pandemin – Dagligen svarade hon på läsarfrågor om covid i direktsändningar och artiklar . Dawod bevakar även Mellanöstern och globala kriser. Hon presenterar nyheter snabbt men grundligt, och blev under 2020 ett av ansiktena för AB:s nyhetsrapportering, vilket bidrog till stor läsekontakt och förtroende under krisen."
"Kulturjournalister","Björn Wiman","Kultur, klimat, samhälle.","Dagens Nyheter (kulturchef)","En drivande kulturjournalist som gjort klimatet till en hjärtefråga. Hans söndagsessäer och krönikor knyter ihop kulturfenomen med etik och politik. Wiman argumenterar humanistiskt och moraliskt, ofta om faran med antisemitism eller vikten av klimatkamp. Ideologiskt liberal-humanist, med en alarmistisk ton i klimatfrågan som engagerar många läsare."
"Kulturjournalister","Fredrik Strage","Popkultur, musik, nöje.","Dagens Nyheter (krönikör)","En av landets mest välprofilerade popkulturjournalister. Hans fredagskrönikor om musik och subkulturer har stor följarskara. Med humor och encyklopedisk kunskap förmedlar Strage insikter om allt från black metal till tv-serier. Politisk ton underordnas kulturell analys, men han tar ofta ställning mot inskränkthet och hyllar mångfald i kulturlivet."
"Kulturjournalister","Jens Liljestrand","Kultur, samhälle.","Expressen (författare, krönikör)","En framträdande litteraturkritiker och krönikör som rör sig mellan kultur och politik. Hans tongång är intellektuell men vass; han skrev t.ex. mycket om klimat och manlighet (med romanen Även om allt tar slut). Han driver ibland debatter (som om “kulturmannen”) och ses som en liberal kulturröst med betoning på personligt ansvar och civilkurage."
"Kulturjournalister","Elisabeth Åsbrink","Kultur, historia, politik.","Frilans (författare, kolumnist i GP/ Expressen)","En prisad journalist och författare som också skrivit kolumner med moraliskt djup om antisemitism, nationalism och Europas historia. Hennes perspektiv som barn till förintelseöverlevare ger tyngd när hon varnar för extremism eller historielöshet. Texterna är essäistiska, långsamma, och syftar till eftertanke. Hon har belönats med Stora Journalistpriset (2013) för sakprosa."
"Kulturjournalister","Cecilia Hagen","Nöje, vardagsbetraktelser.","Expressen (kolumnist)","Legendarisk kolumnist som i decennier kommenterat allt från kungahuset till dammråttor under soffan med kvick humor. Hennes kåserier – ofta i form av Q&A med sig själv – är lättsmälta men träffande och har bred läsekrets bland framförallt kvinnliga läsare. Under 2022 hamnade hon i rubriker för en råttmetafor om SD:s väljare, vilket visade att hennes penna fortfarande kan väcka debatt. Hon är i grunden liberal och står för en urban, kosmopolitisk livssyn med skarp tunga mot inskränkthet."
"Kulturjournalister","Göran Rosenberg","Samhälle, historia, judiska frågor.","Författare, frilanskrönikör (bl.a. DN, SVT Opinion)","En senior journalist och författare som är en av de mest respekterade intellektuella rösterna i Sverige. Rosenberg skriver långsamt genomtänkta texter om t.ex. Israel-Palestina, existentialism i det moderna samhället och demokratins utmaningar. Han förenar personlig berättelse med analys – som i boken Ett kort uppehåll på vägen från Auschwitz. Hans hållning är humanistisk och han manar ofta till eftertanke snarare än snabba slutsatser."
"Sportjournalister","Erik Niva","Sport (fotboll), samhälle.","Aftonbladet (Sportbladet krönikör), Viaplay (expert)","Sveriges mest lästa sportjournalist, känd för att ge fotboll en kulturell och social kontext. Niva skriver med berättarglädje och analys om fotbollens betydelse – från arbetarhistorien i engelska ligan till förortens roll i svensk talangutveckling. Han har vunnit läsarpriset Guldskölden många gånger och hyllas för  insiktsfulla analyser och engagerande berättande . Hans krönikor läses av långt fler än sportnörden; han knyter sporten till politik och identitet på ett unikt sätt."
"Sportjournalister","Simon Bank","Sport (fotboll), kultur.","Aftonbladet (Sportbladet krönikör)","En annan tongivande fotbollskrönikör med litterär ådra. Bank varvar matchanalyser med bredare betraktelser om exempelvis supporterkultur, korruption i FIFA eller fotbollens estetik. Hans språk är färgstarkt och bildat, han citerar poesi likaväl som matchstatistik. Tillsammans med Niva har han breddat sportjournalistiken till att uppskattas även även av kulturintresserade läsare."
"Sportjournalister","Johan Esk","Sport (allmänt, OS), Stockholmsperspektiv.","Dagens Nyheter (sportkrönikör)","DN:s sportkrönikör med särskild kärlek till friidrott och hockey. Esk är känd för sina OS-krönikor – han skriver målande om svenska medaljhopp och nederlag med ett patriotiskt men ändå kritiskt öga. Har också engagerat sig i Stockholms arenafrågor och idrottspolitik. Språket är rakt och medryckande. Bland DN:s mest lästa artiklar under OS-år brukar Esk ligga i topp."
"Medieanalytiker","Lars Truedson","Medieanalys, journalistik.","Medierna i P1 (programledare),  Institutet för Mediastudier","Driver radioprogrammet “Medierna” som granskar journalistiken själv – ett smalt men inflytelserikt forum som blottlägger mediers felsteg och etiska dilemman. Truedson är saklig, ställer tuffa frågor till kollegor och chefer i branschen. Genom Mediestudier publicerar han också rapporter om t.ex. journalistikens oberoende och lokaljournalistikens kris. Hans arbete har indirekt effekt på allmänhetens medieförtroende och intern självkritik i redaktioner."
"Medieanalytiker","Cissi Elwin","Ledarskap, arbetsliv.","Tidningen Chef (chefredaktör)","Tidigare SVT-profil som nu leder Skandinaviens största ledarskapsmagasin. Hon skriver och talar om ledarskap, jämställdhet i arbetslivet och personlig utveckling. Genom Chef når hon chefer och HR, men också via podd och konferenser sprider hon insikter. Hennes ton är inspirerande och konkret. Hon lyfter fram framgångsexempel och nya rön inom psykologin för att främja ett mer mänskligt och effektivt arbetsliv."
"Övriga Journalister","Malou von Sivers","Samhälle, hälsa, intervjuer.","TV4 (programledare Malou efter tio)","En av TV4:s mest långlivade journalister, som under decennier intervjuat människor i det mjuka morgonprogramformatet. Malou blandar kändisar med vardagshjältar och experter, i samtal om allt från medicinska rön till livskriser. Hon har ibland kritiserats för kontroversiella inslag, men hennes program når en stor publik och hon har belönats med Lukas Bonniers Stora Journalistpris (2014) för sitt intervjuföretag. Malous stil är empatisk och nyfiken, vilket får gäster att öppna sig."
"Övriga Journalister","Stefan “Steffo” Törnquist","Underhållning, samhälle.","TV4 (Nyhetsmorgon)","Journalist och programledare som blivit folkkär via morgon-tv. Steffo har en bakgrund inom nyheter, men är mest känd för lättsammare inslag om mat, dryck och livsnjutning i Nyhetsmorgon. Han gör även samhällsintervjuer i samma program, dock med charmigt anslag. Hans närvaro i rutan bidrar till TV4:s stora morgonpublik, och han har släppt böcker i journalistisk anda om whisky och cigarrer."
"Övriga Journalister","Jan-Olov Andersson","Nöje, film, tv.","Aftonbladet (nöjesreporter, krönikör)","En veteran i nöjesjournalistiken som bevakat film, tv och kändisar i över 30 år. Hans filmrecensioner och Oscars-bevakningar är standard för AB-läsarna, liksom hans rapporter från Melodifestivalen och kungliga bröllop. Stilen är lättsam, ofta med personliga åsikter och glimten i ögat. Även om nöjesjournalistik kanske inte anses “tung” har Jan- Olov en stor publik – svenskarnas intresse för film och tv gör att hans texter hör till de mest klickade på nöjessidorna."
